prices	475	с покрытием гель-лаком	legacy/tag/с-покрытием-гель-лаком-287	31038	31038
prices	337	ионофорез	legacy/tag/ионофорез-148	27101	27101
prices	320	жасминовое	legacy/tag/жасминовое-131	8752	8752
prices	323	медовое	legacy/tag/медовое-134	8752	8752
prices	322	масляное	legacy/tag/масляное-133	8355	8355
prices	318	горячее	legacy/tag/горячее-129	8348	8348
prices	304	гигиеническая	legacy/tag/гигиеническая-115	6908	6908
prices	306	механическая	legacy/tag/механическая-117	6695	6695
prices	307	ультрозвуковая	legacy/tag/ультрозвуковая-118	6695	6695
prices	305	комбинированная	legacy/tag/комбинированная-116	6694	6694
prices	308	элементная	legacy/tag/элементная-119	6694	6694
prices	313	бандажное	legacy/tag/бандажное-124	6289	6289
prices	314	виноградное	legacy/tag/виноградное-125	6228	6228
prices	282	спиральные мезонити	legacy/tag/спиральные-мезонити-93	6204	6204
prices	278	монополярный	legacy/tag/монополярный-89	4070	4070
prices	328	электрокоагуляция	legacy/tag/электрокоагуляция-139	1927	1927
prices	479	большая	legacy/tag/большая-291	1163	1163
prices	480	вросшего ногтя	legacy/tag/вросшего-ногтя-292	1163	1163
prices	481	коррекция френча	legacy/tag/коррекция-френча-293	1163	1163
prices	482	малая	legacy/tag/малая-294	1163	1163
prices	483	с поверхностным дизайном	legacy/tag/с-поверхностным-дизайном-295	1163	1163
prices	484	средняя	legacy/tag/средняя-296	1163	1163
prices	485	воском	legacy/tag/воском-297	1163	1163
prices	486	полиролью	legacy/tag/полиролью-298	1163	1163
prices	487	бумагой	legacy/tag/бумагой-299	1163	1163
prices	488	гелем	legacy/tag/гелем-300	1163	1163
prices	489	льном	legacy/tag/льном-301	1163	1163
prices	490	шелком	legacy/tag/шелком-302	1163	1163
prices	491	под гель лак	legacy/tag/под-гель-лак-303	1163	1163
prices	492	воск	legacy/tag/воск-304	1163	1163
prices	493	сахар (шугаринг)	legacy/tag/сахар-шугаринг-305	1163	1163
prices	356	микроблейдинг 	legacy/tag/микроблейдинг-167	15	15
prices	355	свадебный (репетиция)	legacy/tag/свадебный-репетиция-166	11	11
prices	343	кюретаж 	legacy/tag/кюретаж-154	10	10
prices	344	женская (длинная)	legacy/tag/женская-длинная-155	10	10
prices	427	(60 мин)	legacy/tag/60-мин-239	1	1
